y,x_countMS,x_numMS,x_cumDurMS,x_medDurMS,x_meanDurMS,x_interDurMeanMS,x_interDurMedianMS,x_cumProbMS,x_probEntropyMS,id,train,model
2400,0,0,0,0,0,0,0,0.00308511567722841,1.53320627188552,6JVj,0,FB-LSTM
901,1,0.0665926748057714,4,4,4,0,0,0.0275948242003236,10.9601774257612,6iwd,0,FB-LSTM
590,1,0.101694915254237,3,3,3,0,0,0.0200013692044827,5.63615214229832,BSvO,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.0183585664290998,15.6134952501642,DSfb,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00377974632840051,1.85043345558155,EyTS,0,FB-LSTM
396,2,0.303030303030303,8,4,4,60,60,0.08880476909109,20.003313880303,IhpU,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00617919751262283,4.57004941670939,Kn9O,0,FB-LSTM
388,0,0,0,0,0,0,0,0.00170913638573166,0.0225796513900948,N1nM,0,FB-LSTM
1228,1,0.0488599348534202,3,3,3,0,0,0.0107585648167769,6.59236700093932,Otq3,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00781915996185489,4.36016981237193,R2f3,0,FB-LSTM
435,0,0,0,0,0,0,0,0.0165606513790701,2.43523128816479,Xg1l,0,FB-LSTM
2400,2,0.05,9,4.5,4.5,1316,1316,0.00867391821704587,8.48322779022062,Xii6,0,FB-LSTM
1734,5,0.173010380622837,26,5,5.2,23.25,22,0.0340799397646511,27.1458200267291,csxQ,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00150541600844614,0.441540219023826,hRMy,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.0014591042987801,0.20390832343182,hcml,0,FB-LSTM
1323,0,0,0,0,0,0,0,0.0300471221013176,17.6747937638342,ibbz,0,FB-LSTM
2400,9,0.225,46,5,5.11111111111111,238.125,127,0.0598545867218005,73.6941871179044,kj2l,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00162286211243554,0.206866621314207,mBks,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00327997560675916,1.14264628448285,mZje,0,FB-LSTM
728,1,0.0824175824175824,5,5,5,0,0,0.0179788377996514,6.33927096108938,tG6i,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00758564928411336,5.40295376841494,0ncr,1,FB-LSTM
2400,1,0.025,4,4,4,0,0,0.011859808655748,12.0207639125647,3J4W,1,FB-LSTM
449,0,0,0,0,0,0,0,0.0138364603087894,2.73344576512746,5bSg,1,FB-LSTM
2400,0,0,0,0,0,0,0,0.00586916695349525,2.88891432665286,9098,1,FB-LSTM
639,1,0.0938967136150235,5,5,5,0,0,0.0311383770986282,9.62038249503366,9JQY,1,FB-LSTM
2400,0,0,0,0,0,0,0,0.0064444210229279,5.61753949722889,AXbm,1,FB-LSTM
2400,0,0,0,0,0,0,0,0.00535230266493575,2.0678667160797,Af8a,1,FB-LSTM
2400,0,0,0,0,0,0,0,0.00449865717332917,1.8102987558634,AsLD,1,FB-LSTM
474,0,0,0,0,0,0,0,0.00498583812008338,1.21541022017684,C1Wu,1,FB-LSTM
1863,3,0.0966183574879227,15,6,5,287.5,287.5,0.0332830093528386,27.4641673550109,DYYI,1,FB-LSTM
460,0,0,0,0,0,0,0,0.0110644038501525,1.59987913632073,DjrT,1,FB-LSTM
2161,0,0,0,0,0,0,0,0.0172901542153922,10.8229486542948,Dr51,1,FB-LSTM
